City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,gorontalo,0.5412,123.0595,298.19,95,100,1.37,ID,1682775910
83,yung shue wan,22.2333,114.1167,298.53,79,96,5.08,HK,1682775910
84,leninskoye,41.7589,69.3864,293.97,40,100,2.06,KZ,1682775911
85,margaret river,-33.95,115.0667,286.36,79,5,1.34,AU,1682775911
86,sparta,43.9441,-90.8129,279.52,90,100,2.06,US,1682775640
87,chonchi,-42.6128,-73.8092,281.55,83,52,3.02,CL,1682775912
88,happy valley-goose bay,53.3168,-60.3315,279.32,56,40,1.54,CA,1682775398
89,taoudenni,22.6783,-3.9836,315.79,5,0,2.48,ML,1682775350
90,praia da vitoria,38.7333,-27.0667,293.29,68,20,6.99,PT,1682775447
91,edinburgh of the seven seas,-37.0676,-12.3116,288.31,90,100,15.44,SH,1682775914
92,prince rupert,54.3161,-130.3201,280.98,92,20,2.06,CA,1682775368
93,nohfelden,49.5869,7.1428,285.97,71,100,2.74,DE,1682775915
94,baise city,23.8997,106.6133,294.03,66,100,0.65,CN,1682775915
95,balykshi,47.0667,51.8667,304.15,20,0,4.0,KZ,1682775916
96,dondo,-19.6094,34.7431,300.88,63,0,2.55,MZ,1682775916
97,karratha,-20.7377,116.8463,299.72,55,88,3.49,AU,1682775917
98,saipan,15.1355,145.701,300.54,78,75,7.72,MP,1682775917
99,quezon,7.7303,125.0989,297.22,94,100,1.09,PH,1682775918
100,nova sintra,14.8667,-24.7167,293.68,79,1,7.38,CV,1682775919
101,verkhnevilyuysk,63.4453,120.3167,273.99,88,98,2.1,RU,1682775919
102,alofi,-19.0595,-169.9187,297.09,100,93,3.09,NU,1682775409
103,atherton,53.5237,-2.4935,291.92,68,88,0.45,GB,1682775920
104,bethel,41.3712,-73.414,282.6,87,100,4.63,US,1682775717
105,dakhla,23.6848,-15.958,296.16,68,0,9.77,EH,1682775921
106,amga,60.8953,131.9608,271.1,89,97,1.23,RU,1682775329
107,mejit,10.2753,170.8646,300.58,66,100,6.55,MH,1682775922
108,umm ruwaba,12.9061,31.2158,310.78,10,100,3.11,SD,1682775923
109,magistral'nyy,56.1725,107.4458,277.54,96,100,3.14,RU,1682775923
110,matoury,4.8483,-52.3317,302.13,74,75,6.69,GF,1682775924
111,san patricio,28.017,-97.5169,290.32,63,0,8.28,US,1682775924
112,noumea,-22.2763,166.4572,297.04,99,44,0.9,NC,1682775925
113,polyarnyy,69.1989,33.4478,272.77,76,100,13.13,RU,1682775926
114,kiffa,16.6166,-11.4045,315.76,4,0,4.76,MR,1682775456
115,kuacjok,8.3002,27.9903,309.11,28,91,1.15,SS,1682775927
116,kidodi,-7.6036,37.0044,298.98,87,72,2.04,TZ,1682775928
117,am timan,11.0297,20.2827,312.4,15,98,3.54,TD,1682775928
118,queenstown,-31.8976,26.8753,296.03,20,0,5.65,ZA,1682775929
119,avarua,-21.2078,-159.775,297.18,69,20,3.6,CK,1682775929
120,brisas de zicatela,15.8369,-97.0419,296.44,78,40,2.06,MX,1682775372
121,ilulissat,69.2167,-51.1,274.16,44,0,3.09,GL,1682775930
122,hermanus,-34.4187,19.2345,291.37,66,23,3.95,ZA,1682775930
123,codrington,-38.2667,141.9667,282.08,77,57,3.04,AU,1682775931
124,udachny,66.4167,112.4,275.07,86,100,6.78,RU,1682775932
125,port elizabeth,-33.918,25.5701,294.87,66,20,11.83,ZA,1682775932
126,morant bay,17.8815,-76.4093,302.99,68,100,4.11,JM,1682775933
127,las toscas,-28.3529,-59.258,298.02,51,0,5.85,AR,1682775934
